image_link,mass_prompt,ratio_prompt,size_text_prompt,75_tokens,image_path
https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 23.19587652621683 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_11.jpg
https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 13.005781392376617 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_12.jpg
https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 8.662175226405855 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a rocky, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_13.jpg
https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.813020813075951 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet has high quantities of methane known for its rich blue color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a rocky, terrestrial planet. The planet is rich blue in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",data/image_14.jpg
https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 27.607362636207355 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet has high quantities of methane known for its rich blue color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet is rich blue in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",data/image_15.jpg
https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e002172/GSFC_20171208_Archive_e002172~thumb.jpg,"A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 2000 times the size of earth, has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring and has thick clouds of various coloring blending together across the planet surface. This planet spins around its orbit so both sides get heat from the sun. The planet's star is white and 1 times the size of the sun.","A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 2000 times the size of earth, has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring and has thick clouds of various coloring blending together across the planet surface. This planet spins around its orbit so both sides get heat from the sun. The planet's star is white and 0.075 the size of it's planet.","A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring. This planet has thick clouds of various coloring blending together across the planet surface. The planet's star is spins around its orbit so both sides get heat from the sun and white.","A white, large star with a massive, gas-giant planet. The planet is mostly silvery white in color, has thick clouds of various coloring blending together, and spins around its orbit so both sides get heat from the sun",data/image_16.jpg
https://images-assets.nasa.gov/image/PIA22097/PIA22097~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.5502188236680245 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a rocky, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_17.jpg
https://images-assets.nasa.gov/image/PIA22097/PIA22097~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.880734383924462 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a rocky, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_18.jpg
https://images-assets.nasa.gov/image/PIA22097/PIA22097~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 23.19587652621683 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_19.jpg
https://images-assets.nasa.gov/image/PIA22097/PIA22097~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 13.005781392376617 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_20.jpg
