,image_description,image_link,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_imppar,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_vmag,Notes,planet_category,planet_mass_description,planet_color,planet_color_short,planet_spin,planet_spin_short,stellar_planet_ratio,roche_limit,tidal_locked,stellar_color,stellar_mass_description,mass_prompt,ratio_prompt,size_text_prompt,75_tokens,  
21,0,https://images-assets.nasa.gov/image/PIA22097/PIA22097~thumb.jpg,TRAPPIST-1 g,TRAPPIST-1,1,7,0,12.3524456,1.129,1.321,5.055986,197,0.379,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,,has high quantities of methane known for its rich blue color,is rich blue in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,6.813020813,0.581002105,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.813020813075951 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet has high quantities of methane known for its rich blue color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet is rich blue in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
22,0,https://images-assets.nasa.gov/image/PIA22097/PIA22097~thumb.jpg,TRAPPIST-1 h,TRAPPIST-1,1,7,0,18.7728653,0.755,0.326,4.16278,172,0.378,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,small,has high quantities of methane known for its rich blue color,is rich blue in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,27.60736264,0.619430331,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has high quantities of methane known for its rich blue color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 27.607362636207355 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This small terrestrial planet has high quantities of methane known for its rich blue color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a small, terrestrial planet. The planet is rich blue in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
23,"Our solar system now is tied for most number of planets around a single star, with the recent discovery of an eighth planet circling Kepler-90, a Sun-like star 2,545 light years from Earth. The planet was discovered in data from NASA's Kepler Space Telescope.  The newly-discovered Kepler-90i -- a sizzling hot, rocky planet that orbits its star once every 14.4 days -- was found using machine learning from Google. Machine learning is an approach to artificial intelligence in which computers ""learn."" In this case, computers learned to identify planets by finding in Kepler data instances where the telescope recorded changes in starlight caused by planets beyond our solar system, known as exoplanets.",https://images-assets.nasa.gov/image/PIA22192/PIA22192~thumb.jpg,Kepler-90 i,KOI-351,1,8,0,14.44911957,1.32,2.3,5.5,709,0.00935,0,0,6015,1.29,1.12,0.25,13.883,0,super-earth,,has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white,is a varying shade of blue and/or white,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,48.69565339,1.308502508,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow white,medium,"A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 2 times the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow white and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 2 times the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow white and 48.695653390794284 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This nan super-earth planet has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow white.","A yellow white, medium star with a nan, super-earth planet. The planet is a varying shade of blue and/or white, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
24,This artist's concept shows what exoplanet Kepler-1649c could look like on its surface. The planet is the closest to Earth in size and temperature found yet in data from the Kepler space telescope.,https://images-assets.nasa.gov/image/PIA23690/PIA23690~thumb.jpg,Kepler-1649 c,Kepler-1649,1,2,0,19.53527069,0.0649,1.2,5.54,234,0.875,0,0,3240,0.23,0.2,-2.287,17.95,0,terrestrial,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,16.66666625,0.045001968,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 16.66666625274554 the size of it's planet.","A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
25,"This is an artist conception of a solar-system montage of the eight planets, a comet and an asteroid.",https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Mercury,Sun,1,8,0,88,0.382,0.06,5.429,449,0,57.909,G2 V,5772,1,1,1,4.81,0,terrestrial,very small,most likely has water vapor that still produces a true blue color mixing with the breakdown of methanes deep blue,is a shade of blue in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,1666.666704,1.22946686,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, most likely has water vapor that still produces a true blue color mixing with the breakdown of methanes deep blue and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, most likely has water vapor that still produces a true blue color mixing with the breakdown of methanes deep blue and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1666.6667039195704 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This very small terrestrial planet most likely has water vapor that still produces a true blue color mixing with the breakdown of methanes deep blue. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a very small, terrestrial planet. The planet is a shade of blue in color, is hot and rotating quickly with little to no clouds, and spins around its orbit so both sides get heat from the sun",  
26,0,https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Venus,Sun,1,8,0,225,0.94857,0.82,5.24,328,0,108.21,G2 V,5772,1,1,1,4.81,0,terrestrial,medium small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,121.9512206,1.276934596,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 121.95122057593062 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 0 moon(s). This medium small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a medium small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and spins around its orbit so both sides get heat from the sun",  
27,0,https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Earth,Sun,1,8,1,365,1,1,5.51,279,0,149.598,G2 V,5772,1,1,1,4.81,0,terrestrial,medium small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,100,1.26,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 100.0 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This medium small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a medium small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and spins around its orbit so both sides get heat from the sun",  
28,0,https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Mars,Sun,1,8,2,687,0.5326,0.11,3.93,226,0,227.956,G2 V,5772,1,1,1,4.81,0,terrestrial,small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,909.090914,1.400578541,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 2 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 2 moon(s). This terrestrial planet is an unknown size compared to the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 909.0909140169127 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 2 moon(s). This small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and spins around its orbit so both sides get heat from the sun",  
29,0,https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Jupiter,Sun,1,8,50,4333,11.1947,317.89,1.33,122,0,778.479,G2 V,5772,1,1,1,4.81,0,gas-giant,massive,most likely overrun with ammonia clouds characterized by their variety of yellow coloring,a shade of yellow in color,has stripes of thick clouds of various coloring defined by softened edges,has soft-edged stripes of thick clouds,0.314574209,2.066763193,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 50 moon(s). This gas-giant planet is 317 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by softened edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 50 moon(s). This gas-giant planet is 317 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by softened edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 0.31457420929245766 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 50 moon(s). This massive gas-giant planet most likely overrun with ammonia clouds characterized by their variety of yellow coloring. This planet has stripes of thick clouds of various coloring defined by softened edges. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a massive, gas-giant planet. The planet a shade of yellow in color, has soft-edged stripes of thick clouds, and spins around its orbit so both sides get heat from the sun",  
30,0,https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Saturn ,Sun,1,8,146,9.407299995,4.725,95.2,687,81,0,1432.041,G2 V,5772,1,1,1,4.81,0,gas-giant,large,most likely overrun with ammonia clouds characterized by their variety of yellow coloring,a shade of yellow in color,"has stripes of thick clouds of various coloring defined by clear, sharp edges","has clear, sharp-edge stripes of thick clouds",1.050420202,1.303847217,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 146 moon(s). This gas-giant planet is 95 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 146 moon(s). This gas-giant planet is 95 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1.0504202017397906 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 146 moon(s). This large gas-giant planet most likely overrun with ammonia clouds characterized by their variety of yellow coloring. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a large, gas-giant planet. The planet a shade of yellow in color, has clear, sharp-edge stripes of thick clouds, and spins around its orbit so both sides get heat from the sun",  
31,0,https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Uranus,Sun,1,8,27,4.107870102,2,14.5,1270,58.1,0,2867.043,G2 V,5772,1,1,1,4.81,0,neptune-like,,"consists mostly of helium and hydrogen which are dominantly white, but it mixes with frozen methane characterized by a light blue color",is mostly white mixed with light blue in color,has clearly defined striped light and dark icy clouds,has clearly defined striped light and dark clouds,6.896551724,1.033422406,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 27 moon(s). This neptune-like planet is 14 times the size of earth, consists mostly of helium and hydrogen which are dominantly white, but it mixes with frozen methane characterized by a light blue color and has clearly defined striped light and dark icy clouds. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 27 moon(s). This neptune-like planet is 14 times the size of earth, consists mostly of helium and hydrogen which are dominantly white, but it mixes with frozen methane characterized by a light blue color and has clearly defined striped light and dark icy clouds. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 6.896551724137931 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 27 moon(s). This nan neptune-like planet consists mostly of helium and hydrogen which are dominantly white, but it mixes with frozen methane characterized by a light blue color. This planet has clearly defined striped light and dark icy clouds. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a nan, neptune-like planet. The planet is mostly white mixed with light blue in color, has clearly defined striped light and dark clouds, and spins around its orbit so both sides get heat from the sun",  
32,0,https://images-assets.nasa.gov/image/PIA10969/PIA10969~thumb.jpg,Neptune,Sun,1,8,14,60190,3.79429,17.24,1.64,51,0,4514.953,G2 V,5772,1,1,1,4.81,0,gas-giant,large,"has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue",is pale yellow in color with slight traces of blue,has thick clouds of various coloring blending together across the planet surface,has thick clouds of various coloring blending together,5.800464114,1.850640187,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 14 moon(s). This gas-giant planet is 17 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has thick clouds of various coloring blending together across the planet surface. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 14 moon(s). This gas-giant planet is 17 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has thick clouds of various coloring blending together across the planet surface. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 5.800464114131141 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 14 moon(s). This large gas-giant planet has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue. This planet has thick clouds of various coloring blending together across the planet surface. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a large, gas-giant planet. The planet is pale yellow in color with slight traces of blue, has thick clouds of various coloring blending together, and spins around its orbit so both sides get heat from the sun",  
33,This artist concept depicts the pulsar planet system discovered by Aleksander Wolszczan in 1992. Wolszczan used the Arecibo radio telescope in Puerto Rico to find three planets circling a pulsar called PSR B1257+12.,https://images-assets.nasa.gov/image/PIA08042/PIA08042~thumb.jpg,PSR B1257+12 b,PSR B1257+12,1,3,0,25.26199913,0.338,0.02,2.85,0,0,0.19,0,0,0,1.4,0,0,0,terrestrial,tiny,"is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red",is covered in lava and a shade of deep red to silvery gray in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,7000.000037,1.755172984,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 1 times the size of the sun.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 7000.000037252905 the size of it's planet.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This tiny terrestrial planet is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a tiny, terrestrial planet. The planet is covered in lava and a shade of deep red to silvery gray in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
34,0,https://images-assets.nasa.gov/image/PIA08042/PIA08042~thumb.jpg,PSR B1257+12 c,PSR B1257+12,1,3,0,66.54190063,1.91,4.3,3.39,0,0,0.36,0,0,0,1.4,0,0,0,super-earth,,"likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white",is mostly blue with traces of white coloring,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,32.55813754,1.655606372,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 4 times the size of earth, likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 1 times the size of the sun.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 4 times the size of earth, likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 32.55813753624239 the size of it's planet.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This nan super-earth planet likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, super-earth planet. The planet is mostly blue with traces of white coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
35,0,https://images-assets.nasa.gov/image/PIA08042/PIA08042~thumb.jpg,PSR B1257+12 d,PSR B1257+12,1,3,0,98.21140289,1.8,3.9,3.67,0,0,0.46,0,0,0,1.4,0,0,0,super-earth,,"likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white",is mostly blue with traces of white coloring,is hot and rotating quickly hot with a thick atmosphere of heavy swirling clouds with bright and dark markings,is hot and rotating quickly hot with swirling clouds of light and dark markings,35.89743441,1.61187308,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 3 times the size of earth, likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white and is hot and rotating quickly hot with a thick atmosphere of heavy swirling clouds with bright and dark markings. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 1 times the size of the sun.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 3 times the size of earth, likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white and is hot and rotating quickly hot with a thick atmosphere of heavy swirling clouds with bright and dark markings. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 35.89743440829951 the size of it's planet.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This nan super-earth planet likely has water vapor producing a blue color as well as helium and hydrogen, which both produce shades of white. This planet is hot and rotating quickly hot with a thick atmosphere of heavy swirling clouds with bright and dark markings. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, super-earth planet. The planet is mostly blue with traces of white coloring, is hot and rotating quickly hot with swirling clouds of light and dark markings, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
